,SVM,SVM,SVM,DT,DT,DT,NN,NN,NN
user,Precis,Recall,F1,Precis,Recall,F1,Precis,Recall,F1,
user10,0.66667,0.75,0.70588,0.8,0.5,0.61538,0.66667,0.5,0.57143,
user11,0.45455,0.625,0.52632,0.45455,0.625,0.52632,0.36364,0.5,0.42105,
user12,0.66667,0.75,0.70588,0.66667,0.5,0.57143,0.5,0.5,0.5,
user13,0.5,0.75,0.6,0.75,0.75,0.75,0.6,0.375,0.46154,
user14,0.75,0.375,0.5,1,0.125,0.22222,1,0.25,0.4,
user16,0.75,0.375,0.5,1,0.25,0.4,0.66667,0.25,0.36364,
user17,0.41667,0.625,0.5,0.44444,0.5,0.47059,0.5,0.5,0.5,
user18,0.5,0.5,0.5,0.4,0.25,0.30769,0.4,0.25,0.30769,
user19,0.33333,0.25,0.28571,0.2,0.125,0.15385,0.4,0.25,0.30769,
user21,0.36364,0.5,0.42105,0.4,0.25,0.30769,0.33333,0.25,0.28571,
user22,0.55556,0.625,0.58824,0.42857,0.375,0.4,0.42857,0.375,0.4,
user23,0.8,1,0.88889,0.75,0.75,0.75,0.85714,0.75,0.8,
user24,0.45455,0.625,0.52632,0.16667,0.125,0.14286,0.375,0.375,0.375,
user25,0.83333,0.625,0.71429,0.875,0.875,0.875,0.83333,0.625,0.71429,
user26,0.5,0.25,0.33333,1,0.25,0.4,1,0.25,0.4,
user27,0.44444,0.5,0.47059,0.66667,0.5,0.57143,0.66667,0.5,0.57143,
user28,0.5,0.125,0.2,0,0,0,0,0,0,
user29,0.46154,0.75,0.57143,0.6,0.75,0.66667,0.5,0.5,0.5,
user30,0.75,0.75,0.75,1,0.375,0.54545,1,0.125,0.22222,
user31,0.5,0.5,0.5,0.57143,0.5,0.53333,0.5,0.375,0.42857,
user32,0.66667,0.5,0.57143,0.66667,0.25,0.36364,0.75,0.375,0.5,
user33,0.66667,0.25,0.36364,0.33333,0.125,0.18182,0.33333,0.125,0.18182,
user34,0.6,0.75,0.66667,0.83333,0.625,0.71429,0.625,0.625,0.625,
user36,1,0.625,0.76923,1,0.375,0.54545,1,0.25,0.4,
user37,0.5,0.875,0.63636,0.36364,0.5,0.42105,0.4,0.5,0.44444,
user38,0.44444,0.5,0.47059,0.5,0.125,0.2,0.25,0.125,0.16667,
user39,0.5,0.375,0.42857,0.66667,0.25,0.36364,1,0.25,0.4,
user40,0.72727,1,0.84211,0.875,0.875,0.875,0.85714,0.75,0.8,
user41,0.85714,0.75,0.8,0.8,0.5,0.61538,0.8,0.5,0.61538,
