,SVM,SVM,SVM,DT,DT,DT,NN,NN,NN
user,Precis,Recall,F1,Precis,Recall,F1,Precis,Recall,F1,
user10,0.66667,0.75,0.70588,0.71429,0.625,0.66667,0.6,0.375,0.46154,
user11,0.5,0.625,0.55556,0.41667,0.625,0.5,0.33333,0.375,0.35294,
user12,0.75,0.75,0.75,0.57143,0.5,0.53333,0.66667,0.5,0.57143,
user13,0.58333,0.875,0.7,0.77778,0.875,0.82353,0.5,0.5,0.5,
user14,0.66667,0.25,0.36364,1,0.125,0.22222,0,0,0,
user16,0.75,0.375,0.5,1,0.25,0.4,0.66667,0.25,0.36364,
user17,0.45455,0.625,0.52632,0.44444,0.5,0.47059,0.33333,0.125,0.18182,
user18,0.57143,0.5,0.53333,0.33333,0.25,0.28571,0.6,0.375,0.46154,
user19,0.42857,0.375,0.4,0.33333,0.25,0.28571,0.4,0.25,0.30769,
user21,0.36364,0.5,0.42105,0.28571,0.25,0.26667,0.25,0.125,0.16667,
user22,0.55556,0.625,0.58824,0.5,0.375,0.42857,0.5,0.375,0.42857,
user23,0.875,0.875,0.875,0.75,0.75,0.75,1,0.625,0.76923,
user24,0.45455,0.625,0.52632,0.14286,0.125,0.13333,0.28571,0.25,0.26667,
user25,0.83333,0.625,0.71429,0.85714,0.75,0.8,0.75,0.375,0.5,
user26,0.66667,0.25,0.36364,1,0.25,0.4,1,0.125,0.22222,
user27,0.5,0.5,0.5,0.57143,0.5,0.53333,0.66667,0.5,0.57143,
user28,0.5,0.125,0.2,0,0,0,0,0,0,
user29,0.5,0.75,0.6,0.6,0.75,0.66667,0.57143,0.5,0.53333,
user30,0.71429,0.625,0.66667,1,0.5,0.66667,1,0.25,0.4,
user31,0.33333,0.25,0.28571,0.57143,0.5,0.53333,0.5,0.375,0.42857,
user32,0.66667,0.5,0.57143,0.66667,0.25,0.36364,0.75,0.375,0.5,
user33,0.5,0.125,0.2,0.33333,0.125,0.18182,0,0,0,
user34,0.55556,0.625,0.58824,0.625,0.625,0.625,0.57143,0.5,0.53333,
user36,1,0.625,0.76923,1,0.25,0.4,1,0.25,0.4,
user37,0.41667,0.625,0.5,0.36364,0.5,0.42105,0.375,0.375,0.375,
user38,0.375,0.375,0.375,0,0,0,0.25,0.125,0.16667,
user39,0.4,0.25,0.30769,0.66667,0.25,0.36364,1,0.125,0.22222,
user40,0.72727,1,0.84211,0.88889,1,0.94118,0.85714,0.75,0.8,
user41,0.83333,0.625,0.71429,0.8,0.5,0.61538,1,0.5,0.66667,
