,SVM,SVM,SVM,DT,DT,DT,NN,NN,NN
user,Precis,Recall,F1,Precis,Recall,F1,Precis,Recall,F1,
user10,0.75,0.75,0.75,1,0.875,0.93333,0.5,0.5,0.5,
user11,0.46667,0.875,0.6087,1,0.875,0.93333,0.33333,0.375,0.35294,
user12,0.8,1,0.88889,1,1,1,1,0.375,0.54545,
user13,0.61538,1,0.7619,1,0.875,0.93333,0.5,0.375,0.42857,
user14,0.54545,0.75,0.63158,1,1,1,0.4,0.25,0.30769,
user16,0.85714,0.75,0.8,1,1,1,0.28571,0.25,0.26667,
user17,0.41667,0.625,0.5,1,1,1,0.75,0.375,0.5,
user18,0.53846,0.875,0.66667,1,0.875,0.93333,0.55556,0.625,0.58824,
user19,0.46154,0.75,0.57143,1,0.875,0.93333,1,0.375,0.54545,
user21,0.58333,0.875,0.7,1,1,1,0.42857,0.375,0.4,
user22,0.53846,0.875,0.66667,1,0.875,0.93333,0.375,0.375,0.375,
user23,0.88889,1,0.94118,1,1,1,0.6,0.75,0.66667,
user24,0.45455,0.625,0.52632,1,1,1,0.33333,0.125,0.18182,
user25,1,1,1,1,1,1,0.83333,0.625,0.71429,
user26,0.88889,1,0.94118,1,1,1,0.83333,0.625,0.71429,
user27,0.61538,1,0.7619,1,0.875,0.93333,0.44444,0.5,0.47059,
user28,0.75,0.75,0.75,1,1,1,0.6,0.375,0.46154,
user29,0.57143,1,0.72727,1,1,1,0.38462,0.625,0.47619,
user30,0.75,0.75,0.75,1,1,1,0.33333,0.125,0.18182,
user31,0.8,0.5,0.61538,1,0.75,0.85714,0.5,0.375,0.42857,
user32,0.55556,0.625,0.58824,1,0.75,0.85714,0.57143,0.5,0.53333,
user33,1,0.625,0.76923,1,0.875,0.93333,1,0.25,0.4,
user34,0.77778,0.875,0.82353,1,1,1,0,0,0,
user36,1,1,1,1,1,1,0.75,0.375,0.5,
user37,0.53333,1,0.69565,1,0.875,0.93333,0.36364,0.5,0.42105,
user38,0.75,0.75,0.75,1,0.875,0.93333,0.4,0.25,0.30769,
user39,1,0.625,0.76923,1,1,1,0.8,0.5,0.61538,
user40,0.66667,1,0.8,1,1,1,0.33333,0.25,0.28571,
user41,0.5,0.5,0.5,1,0.625,0.76923,0.57143,0.5,0.53333,
