,SVM,SVM,SVM,DT,DT,DT,NN,NN,NN
user,Precis,Recall,F1,Precis,Recall,F1,Precis,Recall,F1,
user10,1,1,1,0.8,1,0.88889,1,0.375,0.54545,
user11,0.42857,0.75,0.54545,0.5,1,0.66667,0.66667,0.25,0.36364,
user12,0.5,0.5,0.5,0.46667,0.875,0.6087,0.33333,0.125,0.18182,
user13,0.5,0.875,0.63636,0.46667,0.875,0.6087,0.57143,0.5,0.53333,
user14,1,0.125,0.22222,0.57143,0.5,0.53333,0,0,0,
user16,0.875,0.875,0.875,0.66667,1,0.8,1,0.125,0.22222,
user17,0.55556,0.625,0.58824,0.5,1,0.66667,0.5,0.375,0.42857,
user18,0.5,0.5,0.5,0.45455,0.625,0.52632,0.66667,0.25,0.36364,
user19,0.5,0.25,0.33333,0.44444,0.5,0.47059,0,0,0,
user21,0.2,0.125,0.15385,0.36364,0.5,0.42105,0,0,0,
user22,0.57143,0.5,0.53333,0.53846,0.875,0.66667,1,0.5,0.66667,
user23,1,1,1,0.88889,1,0.94118,1,0.375,0.54545,
user24,0.25,0.25,0.25,0.33333,0.5,0.4,0,0,0,
user25,1,0.625,0.76923,0.875,0.875,0.875,0,0,0,
user26,0.66667,0.25,0.36364,0.88889,1,0.94118,1,0.125,0.22222,
user27,0.71429,0.625,0.66667,0.8,1,0.88889,0,0,0,
user28,0,0,0,0.57143,0.5,0.53333,0,0,0,
user29,0.58333,0.875,0.7,0.53333,1,0.69565,1,0.125,0.22222,
user30,0.71429,0.625,0.66667,0.75,0.75,0.75,0,0,0,
user31,0.5,0.375,0.42857,0.72727,1,0.84211,0,0,0,
user32,0.83333,0.625,0.71429,0.66667,0.75,0.70588,1,0.375,0.54545,
user33,0,0,0,0.5,0.75,0.6,0,0,0,
user34,0.8,1,0.88889,0.77778,0.875,0.82353,0.66667,0.25,0.36364,
user36,1,0.75,0.85714,1,0.625,0.76923,0,0,0,
user37,0.5,0.875,0.63636,0.53333,1,0.69565,0.5,0.125,0.2,
user38,0.5,0.375,0.42857,0.6,0.75,0.66667,0,0,0,
user39,1,0.375,0.54545,0.7,0.875,0.77778,1,0.25,0.4,
user40,0.8,1,0.88889,0.61538,1,0.7619,1,0.5,0.66667,
user41,0.66667,0.5,0.57143,0.71429,0.625,0.66667,0,0,0,
