,SVM,SVM,SVM,DT,DT,DT,NN,NN,NN
user,Precis,Recall,F1,Precis,Recall,F1,Precis,Recall,F1,
user10,0.57143,1,0.72727,0.46154,0.75,0.57143,0.5,0.125,0.2,
user11,0.53846,0.875,0.66667,0.46154,0.75,0.57143,0,0,0,
user12,0.53333,1,0.69565,0.36364,0.5,0.42105,0.5,0.375,0.42857,
user13,0.5,1,0.66667,0.5,0.625,0.55556,0.33333,0.125,0.18182,
user14,0.55556,0.625,0.58824,0.57143,0.5,0.53333,1,0.25,0.4,
user16,0.33333,0.5,0.4,0.44444,0.5,0.47059,1,0.125,0.22222,
user17,0.5,0.875,0.63636,0.42857,0.75,0.54545,0.57143,0.5,0.53333,
user18,0.46667,0.875,0.6087,0.61538,1,0.7619,0.57143,0.5,0.53333,
user19,0.58333,0.875,0.7,0.63636,0.875,0.73684,1,0.125,0.22222,
user21,0.58333,0.875,0.7,0.44444,0.5,0.47059,0.5,0.125,0.2,
user22,0.72727,1,0.84211,0.54545,0.75,0.63158,0.5,0.25,0.33333,
user23,0.57143,1,0.72727,0.66667,0.75,0.70588,1,0.125,0.22222,
user24,0.53333,1,0.69565,0.41667,0.625,0.5,0.66667,0.5,0.57143,
user25,0.61538,1,0.7619,0.55556,0.625,0.58824,1,0.25,0.4,
user26,0.5,0.75,0.6,0.5,0.75,0.6,0,0,0,
user27,0.46154,0.75,0.57143,0.6,0.75,0.66667,0.5,0.125,0.2,
user28,0.33333,0.5,0.4,0.25,0.25,0.25,0,0,0,
user29,0.42857,0.75,0.54545,0.6,0.75,0.66667,0,0,0,
user30,0.46667,0.875,0.6087,0.46154,0.75,0.57143,1,0.25,0.4,
user31,0.66667,1,0.8,0.6,0.75,0.66667,0,0,0,
user32,0.42857,0.375,0.4,0.42857,0.375,0.4,0,0,0,
user33,0.5,0.875,0.63636,0.33333,0.375,0.35294,0.6,0.375,0.46154,
user34,0.5,0.625,0.55556,0.44444,0.5,0.47059,0.5,0.125,0.2,
user36,0.38462,0.625,0.47619,0.3,0.375,0.33333,0,0,0,
user37,0.46154,0.75,0.57143,0.44444,0.5,0.47059,0.25,0.125,0.16667,
user38,0.33333,0.375,0.35294,0.28571,0.25,0.26667,0.66667,0.25,0.36364,
user39,0.5,0.625,0.55556,0.42857,0.375,0.4,0.75,0.375,0.5,
user40,0.53333,1,0.69565,0.54545,0.75,0.63158,0.33333,0.125,0.18182,
user41,0.46154,0.75,0.57143,0.54545,0.75,0.63158,0.4,0.25,0.30769,
